#Enea Example Log
#Version 1.1

2007-03-28 13:56:00:900004 SYSTEM_INFO   Temperature is OK!
2007-03-28 13:56:00:900013 TASK_SWITCH   system engine_unit
2007-03-28 13:56:00:900102 SEND          engine_unit control_unit RPM limit reached
2007-03-28 13:56:00:900106 TASK_SWITCH   engine_unit control_unit
2007-03-28 13:56:00:900217 RECEIVE       control_unit RPM limit reached
2007-03-28 13:56:00:900233 TASK_SWITCH   control_unit system
2007-03-28 13:56:00:900307 SYSTEM_INFO   Adjusting parameters to decrease temperature
2007-03-28 13:56:00:900319 SYSTEM_INFO   Should not reach this state
2007-03-28 13:56:00:900391 TASK_SWITCH   system control_unit
2007-03-28 13:56:00:900413 SEND          control_unit engine_unit Error, stop engine
2007-03-28 13:56:00:900472 TASK_SWITCH   control_unit system
2007-03-28 13:56:00:900510 SYSTEM_INFO   Temperature is rising
2007-03-28 13:56:00:900562 TASK_SWITCH   system engine_unit
2007-03-28 13:56:00:900600 RECEIVE       engine_unit Error, stop engine
2007-03-28 13:56:00:900622 TASK_SWITCH   engine_unit system
2007-03-28 13:56:00:900746 SYSTEM_INFO   warning, system in fail state!
2007-03-28 13:56:00:901239 SYSTEM_INFO   System restart is ordered from safety mechanism!
