Traffic light trace

Timestamp	Task-Id	Current state	New state
3390	lightN	Red	setGreen
3453	lightS	Red	setGreen
6890	controller	NSGreen	NULL
6953	lightN	Green	setYellow
7062	lightS	Green	setYellow
8890	controller	NSYellow	NULL
8953	lightN	Yellow	setRed
9218	lightN	Red	setRed
9890	controller	NSRed	NULL
9953	lightE	Red	setGreen
10390	lightW	Red	setGreen
12890	controller	EWGreen	NULL
12953	lightE	Green	setYellow
13093	lightW	Green	setYellow
14890	controller	EWYellow	NULL
14953	lightE	Yellow	setRed
15265	lightW	Yellow	setRed
15890	controller	EWRed	NULL
15953	lightN	Red	setGreen
16437	lightS	Yellow	setGreen
18890	controller	NSGreen	NULL
18953	lightN	Green	setYellow
19093	lightS	Yellow	setYellow
20890	controller	NSYellow	NULL
20953	lightN	Yellow	setRed
21281	lightN	Red	setRed
21890	controller	NSRed	NULL
21953	lightE	Red	setGreen
22453	lightW	Red	setGreen
24890	controller	EWGreen	NULL
24953	lightE	Green	setYellow
25140	lightW	Green	setYellow
26890	controller	EWYellow	NULL
26953	lightE	Yellow	setRed
27328	lightW	Yellow	setRed
27890	controller	EWRed	NULL
27968	lightN	Red	setGreen
27984	lightS	Yellow	setGreen
30890	controller	NSGreen	NULL
30953	lightN	Green	setYellow
31156	lightS	Yellow	setYellow
32890	controller	NSYellow	NULL
32953	lightN	Yellow	setRed
33312	lightN	Red	setRed
33890	controller	NSRed	NULL
33968	lightE	Red	setGreen
33984	lightW	Red	setGreen
36890	controller	EWGreen	NULL
36953	lightE	Green	setYellow
37140	lightW	Green	setYellow
38890	controller	EWYellow	NULL
38953	lightE	Yellow	setRed
39312	lightW	Yellow	setRed
39890	controller	EWRed	NULL
39968	lightN	Red	setGreen
39984	lightS	Yellow	setGreen
42890	controller	NSGreen	NULL
42953	lightN	Green	setYellow
43140	lightS	Yellow	setYellow
44890	controller	NSYellow	NULL
44953	lightN	Yellow	setRed
45343	lightN	Red	setRed
45890	controller	NSRed	NULL

lightW	15753720	Yellow	setRed
controller	15754184	EWRed	NULL
lightN	15753384	Red	setGreen
lightS	15753944	Yellow	setGreen
controller	15754184	NSGreen	NULL
lightN	15753384	Green	setYellow
lightS	15753944	Yellow	setYellow
controller	15754184	NSYellow	NULL
lightN	15753384	Yellow	setRed
lightN	15753384	Red	setRed
controller	15754184	NSRed	NULL
